iter	Passed	Remaining
315	1434	835
316	1437	829
317	1442	825
318	1448	821
319	1453	817
320	1458	813
321	1461	807
322	1465	803
323	1467	797
324	1473	793
325	1476	787
326	1480	783
327	1484	778
328	1488	773
329	1493	769
330	1499	765
331	1502	760
332	1506	755
333	1509	750
334	1512	745
335	1518	740
336	1520	735
337	1524	730
338	1527	725
339	1533	721
340	1538	717
341	1544	713
342	1547	708
343	1551	703
344	1558	700
345	1563	695
346	1566	690
347	1570	686
348	1573	680
349	1577	675
350	1579	670
351	1584	666
352	1586	660
353	1591	656
354	1595	651
355	1599	646
356	1605	642
357	1609	638
358	1612	633
359	1616	628
360	1619	623
361	1623	618
362	1626	613
363	1630	609
364	1632	603
365	1636	599
366	1642	595
367	1645	590
368	1648	585
369	1650	580
370	1654	575
371	1656	569
372	1660	565
373	1662	560
374	1666	555
375	1669	550
376	1673	545
377	1675	540
378	1678	535
379	1681	531
380	1685	526
381	1687	521
382	1690	516
383	1693	511
384	1696	506
385	1699	501
386	1701	496
387	1704	492
388	1706	487
389	1709	482
390	1712	477
391	1714	472
392	1717	467
393	1720	462
394	1722	458
395	1725	453
396	1727	448
397	1730	443
398	1733	438
399	1737	434
400	1739	429
401	1742	424
402	1744	419
403	1746	415
404	1750	410
405	1752	405
406	1755	401
407	1758	396
408	1760	391
409	1763	387
410	1767	382
411	1770	378
412	1775	373
413	1777	369
414	1781	364
415	1784	360
416	1787	355
417	1790	351
418	1793	346
419	1796	342
420	1800	337
421	1802	333
422	1805	328
423	1809	324
424	1811	319
425	1814	315
426	1817	310
427	1821	306
428	1823	301
429	1827	297
430	1829	292
431	1833	288
432	1836	284
433	1840	279
434	1842	275
435	1846	271
436	1849	266
437	1853	262
438	1856	257
439	1860	253
440	1862	249
441	1866	244
442	1869	240
443	1873	236
444	1876	231
445	1879	227
446	1882	223
447	1886	218
448	1889	214
449	1893	210
450	1895	205
451	1899	201
452	1901	197
453	1905	193
454	1907	188
455	1910	184
456	1913	180
457	1916	175
458	1918	171
459	1921	167
460	1923	162
461	1926	158
462	1929	154
463	1932	149
464	1934	145
465	1937	141
466	1939	137
467	1943	132
468	1945	128
469	1949	124
470	1951	120
471	1954	115
472	1957	111
473	1960	107
474	1962	103
475	1965	99
476	1968	94
477	1970	90
478	1973	86
479	1976	82
480	1979	78
481	1982	74
482	1984	69
483	1988	65
484	1990	61
485	1994	57
486	1996	53
487	1999	49
488	2002	45
489	2004	40
490	2017	36
491	2020	32
492	2022	28
493	2025	24
494	2028	20
495	2031	16
496	2033	12
497	2036	8
498	2039	4
499	2041	0
