iter	RMSE
180	0.1150350741
181	0.114900804
182	0.114667254
183	0.1145121953
184	0.1143280098
185	0.1140932426
186	0.1139684308
187	0.1138025802
188	0.1135610773
189	0.1133908823
190	0.1132275315
191	0.1130788324
192	0.1128917002
193	0.1126447453
194	0.1124343418
195	0.1122419182
196	0.1121079357
197	0.1119499658
198	0.1117628137
199	0.1116173828
200	0.1114659282
201	0.1112429883
202	0.1111333816
203	0.11093148
204	0.1108288673
205	0.1106851375
206	0.1105338623
207	0.1103787372
208	0.1102908905
209	0.1101275597
210	0.1099637485
211	0.109854374
212	0.1097013268
213	0.1095601692
214	0.1094556711
215	0.1094298795
216	0.1092337034
217	0.109092742
218	0.1089185305
219	0.108799765
220	0.1087099111
221	0.1085930595
222	0.108419407
223	0.1082064363
224	0.1081156838
225	0.108012583
226	0.1079476827
227	0.1078074006
228	0.1076739376
229	0.1076034702
230	0.1074783384
231	0.1073364642
232	0.1072079421
233	0.1071165841
234	0.1069936535
235	0.1068443885
236	0.1067817415
237	0.1067035253
238	0.1065898455
239	0.1064878845
240	0.1064274456
241	0.106328439
242	0.1062385671
243	0.1061859394
244	0.1060819184
245	0.1059705492
246	0.1058327423
247	0.1056536252
248	0.1055812126
249	0.1054669176
250	0.1053059391
251	0.1052426879
252	0.1051144104
253	0.1049239215
254	0.1048618317
255	0.1047568405
256	0.1046382144
257	0.1045092427
258	0.104377117
259	0.1041990809
260	0.1040634043
261	0.1039949897
262	0.1038479569
263	0.1037701138
264	0.1036804628
265	0.1035505606
266	0.1033879048
267	0.1032999463
268	0.103225748
269	0.1031714337
270	0.1030615194
271	0.1029396561
272	0.1028099516
273	0.1027738279
274	0.1026410987
275	0.1025540108
276	0.1024502862
277	0.1023812767
278	0.1022698933
279	0.1020574309
280	0.1019785729
281	0.1019119647
282	0.1018044211
283	0.1017856841
284	0.1016541135
285	0.1016359781
286	0.1015562931
287	0.1014866318
288	0.1013527569
289	0.1011518446
290	0.1010488116
291	0.1010311808
292	0.1010173148
293	0.100977022
294	0.1008852927
295	0.1008078874
296	0.1007171561
297	0.1006394659
298	0.1006260953
299	0.1005553608
300	0.1004557934
301	0.1003401812
302	0.100306891
303	0.1001318345
304	0.1000521474
305	0.09996820089
306	0.09981049973
307	0.09973057962
308	0.0996314997
309	0.0995482394
310	0.09939593017
311	0.09938293122
312	0.099272508
313	0.09923696518
314	0.09916638104
315	0.09909225983
316	0.09901358624
317	0.09898908296
318	0.09884254154
319	0.09879175802
320	0.09869794905
321	0.09861179283
322	0.09858027579
323	0.09849095549
324	0.09840452342
325	0.09833989066
326	0.09822740939
327	0.09811870213
328	0.09806156882
329	0.09804469969
330	0.09803038724
331	0.0978973033
332	0.09781462266
333	0.09775012738
334	0.09773841974
335	0.09766514436
336	0.09759365644
337	0.09750788198
338	0.09743044488
339	0.0973336994
340	0.09723275828
341	0.09708999364
342	0.09705209999
343	0.09703867418
344	0.09697605041
345	0.09695262114
346	0.09687206685
347	0.09679264245
348	0.09674317847
349	0.09666137911
350	0.09658353314
351	0.09655643412
352	0.09647584924
353	0.09635520131
354	0.096284171
355	0.09623234316
356	0.09616350899
357	0.09605451318
358	0.0959565672
359	0.09594212125
360	0.09589690611
361	0.09584162522
362	0.09581777684
363	0.09575251048
364	0.09570167901
365	0.09562531213
366	0.09554259158
367	0.0954934243
368	0.09543598692
369	0.09542385599
370	0.09534614414
371	0.09527894215
372	0.0952557846
373	0.09520288099
374	0.09514897008
375	0.09505212751
376	0.09492883624
377	0.09488969956
378	0.09484442649
379	0.09481689226
380	0.09479250818
381	0.09472934133
382	0.09470844273
383	0.09460412607
384	0.09453278498
385	0.09451870138
386	0.09446603674
387	0.0943947688
388	0.09437651018
389	0.09430490434
390	0.0942314862
391	0.09417871627
392	0.09412326708
393	0.09407370301
394	0.09400372415
395	0.09393047787
396	0.09387505511
397	0.09385925064
398	0.09378045164
399	0.09372890735
400	0.09363360337
401	0.09355899191
402	0.0934966861
403	0.09348059459
404	0.09343658186
405	0.09342334197
406	0.0933704872
407	0.09329974487
408	0.09328600469
409	0.09317943698
410	0.09309325077
411	0.0930349324
412	0.09291624037
413	0.09284770721
414	0.0927941564
415	0.09278150634
416	0.09271710924
417	0.09269561994
418	0.09263223605
419	0.09256803699
420	0.09251170842
421	0.09247615985
422	0.09243268448
423	0.09231728982
424	0.09229127146
425	0.09226701514
426	0.09218421311
427	0.09216991448
428	0.09210870452
429	0.09204449549
430	0.09194342343
431	0.09191251364
432	0.09182241535
433	0.09177051885
434	0.091694417
435	0.09167273361
436	0.09156349737
437	0.09147036827
438	0.09146098037
439	0.09145048709
440	0.09141473109
441	0.0913424202
442	0.0912571283
443	0.09117441423
444	0.09112072341
445	0.09111218133
446	0.09105467792
447	0.09097389156
448	0.09088147249
449	0.09080245535
450	0.09079375961
451	0.09074696542
452	0.09073222578
453	0.09065979152
454	0.0906009012
455	0.09050234305
456	0.09045515052
457	0.09042499929
458	0.09035099008
459	0.09030756713
460	0.09024410031
461	0.09016904115
462	0.09012363564
463	0.09011563086
464	0.09007529381
465	0.09000411563
466	0.0899450587
467	0.08989398412
468	0.08977406352
469	0.08974058254
470	0.08969401195
471	0.08968161495
472	0.08962515969
473	0.08957239553
474	0.08956438865
475	0.08955589899
476	0.08950236837
477	0.08949477913
478	0.08944432997
479	0.08937190904
480	0.08930396009
481	0.08924094608
482	0.08918614165
483	0.08914119918
484	0.08911103735
485	0.08905339678
486	0.08901289827
487	0.08900182266
488	0.08897206431
489	0.08896142816
490	0.08895338802
491	0.08892919607
492	0.08889043857
493	0.08888261806
494	0.08883876691
495	0.08882933476
496	0.08882059777
497	0.08878635112
498	0.08877895659
499	0.08873278046
